,pair,block,trial,tapnr,Delta,ITI_sub1,ITI_sub2,alpha,alpha_lin,subject,jitter,ttap3
1109,206,3,62,6,0.0809781551361084,0.5279660224914551,0.562891960144043,51.789931129126536,51.78993112912653,1,0.1,3.3147580623626713
1110,206,3,62,7,0.046052217483520515,0.5641717910766602,0.5579681396484375,29.71280457789811,29.712804577898112,2,0.1,3.7966718673706055
1111,206,3,62,7,0.046052217483520515,0.5641717910766602,0.5579681396484375,29.71280457789811,29.712804577898112,1,0.1,3.8427240848541264
1112,206,3,62,8,0.05225586891174317,0.5420880317687988,0.5414390563964844,34.744654243139465,34.74465424313945,2,0.1,4.354640007019043
1113,206,3,62,8,0.05225586891174317,0.5420880317687988,0.5414390563964844,34.744654243139465,34.74465424313945,1,0.1,4.406895875930786
1114,206,3,62,9,0.05290484428405762,,,,,2,0.1,4.896079063415527
1115,206,3,62,9,0.05290484428405762,,,,,1,0.1,4.948983907699585
1116,206,3,63,1,0.24787592887878465,0.7040939331054683,0.5403990745544434,126.73782602100002,126.73782602100002,1,0.025,0.33021998405456504
1117,206,3,63,1,0.24787592887878465,0.7040939331054683,0.5403990745544434,126.73782602100002,126.73782602100002,2,0.025,0.5780959129333496
1118,206,3,63,2,0.08418107032775968,0.5646150112152108,0.5327219963073729,53.674069438515595,53.674069438515595,1,0.025,1.0343139171600333
1119,206,3,63,2,0.08418107032775968,0.5646150112152108,0.5327219963073729,53.674069438515595,53.674069438515595,2,0.025,1.118494987487793
1120,206,3,63,3,0.05228805541992188,0.5190179347991952,0.667125940322876,36.26791809892782,36.26791809892782,1,0.025,1.598928928375244
1121,206,3,63,3,0.05228805541992188,0.5190179347991952,0.667125940322876,36.26791809892782,36.26791809892782,2,0.025,1.651216983795166
1122,206,3,63,4,0.20039606094360266,0.6542692184448233,0.5098021030426025,110.26436810091343,110.26436810091343,1,0.025,2.11794686317444
1123,206,3,63,4,0.20039606094360266,0.6542692184448233,0.5098021030426025,110.26436810091343,110.26436810091343,2,0.025,2.318342924118042
1124,206,3,63,5,0.055928945541381836,0.6060309410095215,0.5041048526763916,33.22341984941842,33.22341984941841,1,0.025,2.7722160816192627
1125,206,3,63,5,0.055928945541381836,0.6060309410095215,0.5041048526763916,33.22341984941842,33.22341984941841,2,0.025,2.8281450271606445
1126,206,3,63,6,0.04599714279174805,0.5040149688720712,0.5089261531829843,32.85412622185887,32.85412622185888,2,0.025,3.332249879837036
1127,206,3,63,6,0.04599714279174805,0.5040149688720712,0.5089261531829843,32.85412622185887,32.85412622185888,1,0.025,3.3782470226287837
1128,206,3,63,7,0.04108595848083496,0.5790500640869123,0.5479969978332502,25.54346501355459,25.54346501355459,2,0.025,3.841176033020021
1129,206,3,63,7,0.04108595848083496,0.5790500640869123,0.5479969978332502,25.54346501355459,25.54346501355459,1,0.025,3.882261991500856
1130,206,3,63,8,0.07213902473449707,0.5289528369903573,0.5311248302459717,49.0970972992293,49.09709729922929,2,0.025,4.3891730308532715
1131,206,3,63,8,0.07213902473449707,0.5289528369903573,0.5311248302459717,49.0970972992293,49.09709729922929,1,0.025,4.4613120555877686
1132,206,3,63,9,0.06996703147888272,,,,,2,0.025,4.920297861099242
1133,206,3,63,9,0.06996703147888272,,,,,1,0.025,4.990264892578125
1134,206,3,64,1,0.06281805038452104,0.5711040496826172,0.5428600311279292,41.65806440278948,41.65806440278948,2,0.075,0.7452309131622319
1135,206,3,64,1,0.06281805038452104,0.5711040496826172,0.5428600311279292,41.65806440278948,41.65806440278948,1,0.075,0.8080489635467529
1136,206,3,64,2,0.09106206893920897,0.5059669017791748,0.5439529418945304,60.26687658667275,60.26687658667275,2,0.075,1.2880909442901611
1137,206,3,64,2,0.09106206893920897,0.5059669017791748,0.5439529418945304,60.26687658667275,60.26687658667275,1,0.075,1.37915301322937
1138,206,3,64,3,0.053076028823853434,0.5160679817199716,0.5401251316070566,35.375821746594696,35.37582174659468,2,0.075,1.8320438861846915
1139,206,3,64,3,0.053076028823853434,0.5160679817199716,0.5401251316070566,35.375821746594696,35.37582174659468,1,0.075,1.885119915008545
1140,206,3,64,4,0.029018878936768463,1.15214204788208,1.1443629264831543,9.128918960474932,9.12891896047492,2,0.075,2.372169017791748
1141,206,3,64,4,0.029018878936768463,1.15214204788208,1.1443629264831543,9.128918960474932,9.12891896047492,1,0.075,2.4011878967285165
1142,206,3,64,5,0.03679800033569425,0.5499169826507561,0.4987640380859375,26.56021507021204,26.56021507021205,2,0.075,3.5165319442749023
1143,206,3,64,5,0.03679800033569425,0.5499169826507561,0.4987640380859375,26.56021507021204,26.56021507021205,1,0.075,3.5533299446105966
1144,206,3,64,6,0.0879509449005127,0.5093400478363037,0.5869948863983154,53.93972059698583,53.93972059698584,2,0.075,4.01529598236084
1145,206,3,64,6,0.0879509449005127,0.5093400478363037,0.5869948863983154,53.93972059698583,53.93972059698584,1,0.075,4.1032469272613525
1146,206,3,64,7,0.010296106338500977,0.5557699203491211,0.5380730628967285,6.88865237353789,6.8886523735378935,2,0.075,4.602290868759155
1147,206,3,64,7,0.010296106338500977,0.5557699203491211,0.5380730628967285,6.88865237353789,6.8886523735378935,1,0.075,4.612586975097656
1148,206,3,64,8,0.027992963790893555,0.5074532032012941,1.467849016189577,6.865465625941563,6.865465625941567,2,0.075,5.140363931655884
1149,206,3,64,8,0.027992963790893555,0.5074532032012941,1.467849016189577,6.865465625941563,6.865465625941567,1,0.075,5.168356895446777
1150,206,3,64,9,0.9324028491973896,,,,,1,0.075,5.675810098648071
1151,206,3,64,9,0.9324028491973896,,,,,2,0.075,6.608212947845462
1152,206,3,65,1,0.1333470344543457,0.5317099094390869,0.6331698894500732,90.28406571208343,90.28406571208343,2,0.025,0.31878113746643066
1153,206,3,65,1,0.1333470344543457,0.5317099094390869,0.6331698894500732,90.28406571208343,90.28406571208343,1,0.025,0.4521281719207764
1154,206,3,65,2,0.031887054443359375,0.5580210685729979,0.5630221366882324,20.57151646436033,20.571516464360343,2,0.025,0.951951026916504
1155,206,3,65,2,0.031887054443359375,0.5580210685729979,0.5630221366882324,20.57151646436033,20.571516464360343,1,0.025,0.9838380813598632
1156,206,3,65,3,0.026885986328125,0.5750508308410645,0.5730350017547607,16.831477426036653,16.831477426036653,2,0.025,1.5149731636047363
1157,206,3,65,3,0.026885986328125,0.5750508308410645,0.5730350017547607,16.831477426036653,16.831477426036653,1,0.025,1.541859149932861
1158,206,3,65,4,0.02890181541442871,0.5600609779357919,0.5302088260650635,18.57771556865577,18.577715568655776,2,0.025,2.0880081653594966
1159,206,3,65,4,0.02890181541442871,0.5600609779357919,0.5302088260650635,18.57771556865577,18.577715568655776,1,0.025,2.1169099807739262
1160,206,3,65,5,0.05875396728515714,0.5449302196502677,0.5439400672912598,38.81492980189538,38.814929801895374,2,0.025,2.6182169914245605
1161,206,3,65,5,0.05875396728515714,0.5449302196502677,0.5439400672912598,38.81492980189538,38.814929801895374,1,0.025,2.6769709587097177
1162,206,3,65,6,0.05974411964416504,0.5201129913330069,0.5488679409027101,41.35232811004485,41.35232811004485,2,0.025,3.1621570587158203
1163,206,3,65,6,0.05974411964416504,0.5201129913330069,0.5488679409027101,41.35232811004485,41.35232811004485,1,0.025,3.2219011783599854
1164,206,3,65,7,0.030989170074462,0.5359749794006357,0.5460810661315918,20.814593321654392,20.8145933216544,2,0.025,3.7110249996185294
