,sample,eventcode,eventname,alpha
4786,2753740,49,,
4787,2756119,48,,
4788,2756167,5,,
4789,2756252,4,,
4790,2759784,15,s2/t1,126.76680431911146
4791,2760074,6,s1/t1,126.76680431911146
4792,2760406,16,s2/t2,90.2849643273998
4793,2760520,7,s1/t2,90.2849643273998
4794,2760977,8,s1/t3,56.64277803710517
4795,2761053,17,s2/t3,56.64277803710517
4796,2761459,9,s1/t4,48.35185529668226
4797,2761521,18,s2/t4,48.35185529668226
4798,2761926,10,s1/t5,27.85618296294459
4799,2761962,19,s2/t5,27.85618296294459
4800,2762397,11,s1/t6,76.05036259792644
4801,2762498,20,s2/t6,76.05036259792644
4802,2762878,12,s1/t7,25.078975124680994
4803,2762913,21,s2/t7,25.078975124680994
4804,2763373,22,s2/t8,8.920208251358503
4805,2763384,13,s1/t8,8.920208251358503
4806,2763822,23,s2/t9,
4807,2763835,14,s1/t9,
4808,2763845,49,,
4809,2766733,48,,
4810,2766781,4,,
4811,2766918,5,,
4812,2770551,15,s2/t1,86.74860427621887
4813,2770697,6,s1/t1,86.74860427621887
4814,2771121,7,s1/t2,24.7723782403815
4815,2771154,16,s2/t2,24.7723782403815
4816,2771581,8,s1/t3,30.877943008288806
4817,2771619,17,s2/t3,30.877943008288806
4818,2772025,9,s1/t4,31.363790261381865
4819,2772064,18,s2/t4,31.363790261381865
4820,2772489,10,s1/t5,11.116425600751656
4821,2772503,19,s2/t5,11.116425600751656
4822,2772932,11,s1/t6,8.837875715246954
4823,2772943,20,s2/t6,8.837875715246954
4824,2773395,21,s2/t7,9.481076061921954
4825,2773406,12,s1/t7,9.481076061921954
4826,2773823,22,s2/t8,6.501538845737316
4827,2773844,13,s1/t8,6.501538845737316
4828,2774657,14,s1/t9,
4829,2775023,23,s2/t9,
4830,2775034,49,,
4831,2777928,48,,
4832,2777976,5,,
4833,2778112,4,,
4834,2781754,15,s2/t1,144.97142203211374
4835,2781972,6,s1/t1,144.97142203211374
4836,2782487,16,s2/t2,20.726990021808035
4837,2782514,7,s1/t2,20.726990021808035
4838,2782970,17,s2/t3,9.231760857272008
4839,2782981,8,s1/t3,9.231760857272008
4840,2783429,9,s1/t4,38.270164739311845
4841,2783477,18,s2/t4,38.270164739311845
4842,2783883,10,s1/t5,14.667271646675315
4843,2783902,19,s2/t5,14.667271646675315
4844,2784342,11,s1/t6,29.047515956122083
4845,2784378,20,s2/t6,29.047515956122083
4846,2784781,21,s2/t7,8.849339224237466
4847,2784792,12,s1/t7,8.849339224237466
4848,2785242,13,s1/t8,129.50770958960638
4849,2785418,22,s2/t8,129.50770958960638
4850,2785730,14,s1/t9,
4851,2785836,23,s2/t9,
4852,2785846,49,,
4853,2788234,48,,
4854,2788283,5,,
4855,2788419,4,,
4856,2791863,15,s2/t1,111.08094533419576
4857,2792092,6,s1/t1,111.08094533419576
4858,2792574,7,s1/t2,25.071477504779352
4859,2792605,16,s2/t2,25.071477504779352
4860,2793051,17,s2/t3,17.788109586824017
4861,2793074,8,s1/t3,17.788109586824017
4862,2793522,18,s2/t4,19.246175471663147
4863,2793546,9,s1/t4,19.246175471663147
4864,2793983,19,s2/t5,41.02588526046088
4865,2794035,10,s1/t5,41.02588526046088
4866,2794438,20,s2/t6,32.809674588943665
4867,2794478,11,s1/t6,32.809674588943665
4868,2794879,21,s2/t7,64.62841727143882
4869,2794961,12,s1/t7,64.62841727143882
4870,2795331,22,s2/t8,148.3646634658284
4871,2795556,13,s1/t8,148.3646634658284
4872,2795878,23,s2/t9,
4873,2795970,14,s1/t9,
4874,2795981,49,,
4875,2798626,48,,
4876,2798674,4,,
4877,2798759,5,,
4878,2802160,15,s2/t1,147.3707209452069
4879,2802424,6,s1/t1,147.3707209452069
4880,2802870,7,s1/t2,53.09761394930314
4881,2802950,16,s2/t2,53.09761394930314
4882,2803412,8,s1/t3,8.605539337461211
4883,2803423,17,s2/t3,8.605539337461211
4884,2803875,18,s2/t4,8.37677985113092
