,sample,eventcode,eventname,alpha
0,8466,1,,
1,8534,2,,
2,18961,1,,
3,19029,2,,
4,29437,2,,
5,29506,1,,
6,39506,2,,
7,39643,1,,
8,50036,2,,
9,50155,1,,
10,64779,3,,
11,65815,48,,
12,65854,4,,
13,65974,5,,
14,69128,6,s1/t1,124.93926932440887
15,69423,15,s2/t1,124.93926932440887
16,69978,7,s1/t2,14.320420798221562
17,70004,16,s2/t2,14.320420798221562
18,70627,17,s2/t3,11.014986023445372
19,70647,8,s1/t3,11.014986023445372
20,71286,18,s2/t4,13.782137860554284
21,71312,9,s1/t4,13.782137860554284
22,71920,19,s2/t5,32.59072017111109
23,71977,10,s1/t5,32.59072017111109
24,72590,20,s2/t6,11.08770671210263
25,72610,11,s1/t6,11.08770671210263
26,73231,21,s2/t7,23.220387856510115
27,73272,12,s1/t7,23.220387856510115
28,73895,22,s2/t8,5.802031760281437
29,73906,13,s1/t8,5.802031760281437
30,74516,23,s2/t9,
31,74548,14,s1/t9,
32,74558,49,,
33,77443,48,,
34,77492,4,,
35,77611,5,,
36,80942,6,s1/t1,175.71876657870664
37,81232,15,s2/t1,175.71876657870664
38,81774,7,s1/t2,6.1824298877697865
39,81799,16,s2/t2,6.1824298877697865
40,83287,17,s2/t3,16.757302107993155
41,83316,8,s1/t3,16.757302107993155
42,83926,18,s2/t4,25.67362888661037
43,83971,9,s1/t4,25.67362888661037
44,84557,19,s2/t5,53.317880324783495
45,84654,10,s1/t5,53.317880324783495
46,85208,20,s2/t6,57.53088310094754
47,85319,11,s1/t6,57.53088310094754
48,85906,21,s2/t7,14.96615499725266
49,85935,12,s1/t7,14.96615499725266
50,86584,13,s1/t8,6.021601118481583
51,86595,22,s2/t8,6.021601118481583
52,87227,23,s2/t9,
53,87247,14,s1/t9,
54,87258,49,,
55,89901,48,,
56,89950,5,,
57,90069,4,,
58,93441,6,s1/t1,110.6867593409473
59,93693,15,s2/t1,110.6867593409473
60,94260,7,s1/t2,14.313209287524018
61,94287,16,s2/t2,14.313209287524018
62,94955,8,s1/t3,19.810998271971755
63,94992,17,s2/t3,19.810998271971755
64,95628,9,s1/t4,29.532363949701704
65,95682,18,s2/t4,29.532363949701704
66,96291,10,s1/t5,5.481594436894226
67,96301,19,s2/t5,5.481594436894226
68,96968,11,s1/t6,5.284986713214664
69,96979,20,s2/t6,5.284986713214664
70,97582,21,s2/t7,51.666904570118675
71,97672,12,s1/t7,51.666904570118675
72,98260,22,s2/t8,22.884695210978922
73,98300,13,s1/t8,22.884695210978922
74,98928,14,s1/t9,
75,98943,23,s2/t9,
76,98953,49,,
77,101845,48,,
78,101878,4,,
79,101998,5,,
80,105598,6,s1/t1,141.65589356379203
81,105835,15,s2/t1,141.65589356379203
82,106438,16,s2/t2,8.798666955081046
83,106456,7,s1/t2,8.798666955081046
84,107148,8,s1/t3,5.619879835021494
85,107158,17,s2/t3,5.619879835021494
86,107811,9,s1/t4,5.943677180027522
87,107822,18,s2/t4,5.943677180027522
88,108452,19,s2/t5,5.752280351921967
89,108463,10,s1/t5,5.752280351921967
90,109105,20,s2/t6,9.501819125757551
91,109122,11,s1/t6,9.501819125757551
92,109762,21,s2/t7,32.503063759936026
93,109809,12,s1/t7,32.503063759936026
94,110283,22,s2/t8,90.55297491104535
95,110486,13,s1/t8,90.55297491104535
96,111089,23,s2/t9,
97,111126,14,s1/t9,
98,111136,49,,
99,113518,48,,
100,113567,4,,
101,113653,5,,
102,117065,15,s2/t1,134.5110881795039
103,117298,6,s1/t1,134.5110881795039
104,117922,7,s1/t2,6.722159127601002
105,117936,16,s2/t2,6.722159127601002
106,118614,17,s2/t3,17.91059109143595
107,118644,8,s1/t3,17.91059109143595
108,119260,9,s1/t4,23.955162758375334
109,119304,18,s2/t4,23.955162758375334
110,119910,10,s1/t5,23.720592365879888
111,119953,19,s2/t5,23.720592365879888
112,120565,11,s1/t6,21.47574192769701
113,120604,20,s2/t6,21.47574192769701
114,121220,12,s1/t7,6.380464065351533
115,121232,21,s2/t7,6.380464065351533
116,121878,13,s1/t8,5.9366224685261395
117,121888,22,s2/t8,5.9366224685261395
118,122508,14,s1/t9,
119,122542,23,s2/t9,
120,122553,49,,
121,125190,48,,
122,125239,4,,
123,125358,5,,
124,129029,6,s1/t1,155.83566501899438
125,129295,15,s2/t1,155.83566501899438
126,129882,7,s1/t2,14.930590468373255
127,129910,16,s2/t2,14.930590468373255
128,130565,8,s1/t3,5.535667463896517
129,130576,17,s2/t3,5.535667463896517
130,131196,9,s1/t4,28.3628450464486
131,131250,18,s2/t4,28.3628450464486
132,131847,10,s1/t5,46.145070824222266
133,131930,19,s2/t5,46.145070824222266
134,132522,11,s1/t6,33.88762302564936
135,132577,20,s2/t6,33.88762302564936
136,133162,21,s2/t7,11.463118416125667
137,133186,12,s1/t7,11.463118416125667
138,133853,13,s1/t8,26.867646909724893
139,133902,22,s2/t8,26.867646909724893
140,134500,14,s1/t9,
141,134551,23,s2/t9,
142,134561,49,,
143,136948,48,,
144,137014,5,,
145,137134,4,,
146,140610,6,s1/t1,104.1632001614897
147,140865,15,s2/t1,104.1632001614897
148,141446,16,s2/t2,24.216399181689862
149,141491,7,s1/t2,24.216399181689862
150,142101,17,s2/t3,36.536158776391794
151,142164,8,s1/t3,36.536158776391794
152,142738,18,s2/t4,29.01056915633626
153,142789,9,s1/t4,29.01056915633626
154,143413,19,s2/t5,6.222550311180271
155,143424,10,s1/t5,6.222550311180271
156,144069,11,s1/t6,11.294532042934634
157,144089,20,s2/t6,11.294532042934634
158,144717,21,s2/t7,5.569169258658718
159,144727,12,s1/t7,5.569169258658718
160,145398,13,s1/t8,6.168356417126006
161,145408,22,s2/t8,6.168356417126006
162,146004,14,s1/t9,
163,146028,23,s2/t9,
164,146038,49,,
165,148416,48,,
166,148465,4,,
167,148533,5,,
168,152240,6,s1/t1,178.50542676276436
169,152548,15,s2/t1,178.50542676276436
170,153108,7,s1/t2,28.90316764558435
171,153159,16,s2/t2,28.90316764558435
172,153772,8,s1/t3,12.543546528871277
173,153795,17,s2/t3,12.543546528871277
174,154424,9,s1/t4,15.527851434756599
175,154451,18,s2/t4,15.527851434756599
176,155085,10,s1/t5,5.872732698470969
177,155095,19,s2/t5,5.872732698470969
178,155734,20,s2/t6,12.79869577475938
179,155756,11,s1/t6,12.79869577475938
180,156339,21,s2/t7,19.52665328003883
181,156372,12,s1/t7,19.52665328003883
182,156957,22,s2/t8,35.403631230569914
183,157020,13,s1/t8,35.403631230569914
184,157591,23,s2/t9,
185,157653,14,s1/t9,
186,157664,49,,
187,160037,48,,
188,160086,4,,
189,160154,5,,
190,163295,6,s1/t1,106.60744459388643
191,163546,15,s2/t1,106.60744459388643
192,164098,16,s2/t2,24.030370428530407
193,164143,7,s1/t2,24.030370428530407
194,164772,17,s2/t3,19.444852258355525
195,164808,8,s1/t3,19.444852258355525
196,165402,18,s2/t4,38.21177603153277
197,165471,9,s1/t4,38.21177603153277
198,166067,19,s2/t5,27.80463212880403
199,166116,10,s1/t5,27.80463212880403
200,166688,20,s2/t6,34.832197974655465
201,166751,11,s1/t6,34.832197974655465
202,167364,21,s2/t7,18.191989607381462
203,167398,12,s1/t7,18.191989607381462
204,168006,22,s2/t8,35.22632350298062
205,168066,13,s1/t8,35.22632350298062
206,168672,23,s2/t9,
207,168683,14,s1/t9,
208,168693,49,,
209,171590,48,,
210,171639,5,,
211,171775,4,,
212,175163,6,s1/t1,129.4493128516578
213,175416,15,s2/t1,129.4493128516578
214,176042,7,s1/t2,47.30760710609853
215,176119,16,s2/t2,47.30760710609853
216,176711,17,s2/t3,5.353696479063871
217,176721,8,s1/t3,5.353696479063871
218,177396,9,s1/t4,5.6846804787463165
219,177406,18,s2/t4,5.6846804787463165
220,178034,10,s1/t5,18.71621119335461
221,178067,19,s2/t5,18.71621119335461
222,178701,20,s2/t6,8.126596980255528
223,178716,11,s1/t6,8.126596980255528
224,179371,12,s1/t7,6.040942376088964
225,179382,21,s2/t7,6.040942376088964
226,180004,22,s2/t8,14.90769598675061
227,180030,13,s1/t8,14.90769598675061
228,180626,23,s2/t9,
229,180651,14,s1/t9,
230,180662,49,,
231,183040,48,,
232,183089,4,,
233,183157,5,,
234,186630,6,s1/t1,31.02039993012136
235,186688,15,s2/t1,31.02039993012136
236,187308,7,s1/t2,5.608998020707816
237,187318,16,s2/t2,5.608998020707816
238,187959,17,s2/t3,7.652257330099758
239,187973,8,s1/t3,7.652257330099758
240,188611,18,s2/t4,18.31994537243318
241,188644,9,s1/t4,18.31994537243318
242,189261,19,s2/t5,15.747267079008026
243,189290,10,s1/t5,15.747267079008026
244,189914,20,s2/t6,16.965164446747142
245,189944,11,s1/t6,16.965164446747142
246,190513,21,s2/t7,57.218171579374676
247,190597,12,s1/t7,57.218171579374676
248,191124,13,s1/t8,58.78764742005637
249,191224,22,s2/t8,58.78764742005637
250,191734,14,s1/t9,
251,191834,23,s2/t9,
252,191845,49,,
253,194491,48,,
254,194539,4,,
255,194659,5,,
256,197826,6,s1/t1,150.49595488896998
257,198045,15,s2/t1,150.49595488896998
258,198571,16,s2/t2,23.066434586798948
259,198617,7,s1/t2,23.066434586798948
260,199269,8,s1/t3,5.000380927219794
261,199279,17,s2/t3,5.000380927219794
262,199919,9,s1/t4,60.78951755564003
263,200026,18,s2/t4,60.78951755564003
264,200540,10,s1/t5,70.99923733483125
265,200658,19,s2/t5,70.99923733483125
266,201175,11,s1/t6,48.118272717081396
267,201260,20,s2/t6,48.118272717081396
268,201840,12,s1/t7,32.33914496874968
269,201895,21,s2/t7,32.33914496874968
270,202437,13,s1/t8,40.49583220168029
271,202513,22,s2/t8,40.49583220168029
272,203033,14,s1/t9,
273,203188,23,s2/t9,
274,203198,49,,
275,205582,48,,
276,205648,5,,
277,205717,4,,
278,209806,6,s1/t1,108.74208081277708
279,210058,15,s2/t1,108.74208081277708
280,210641,7,s1/t2,5.028962708627064
281,210651,16,s2/t2,5.028962708627064
282,211285,17,s2/t3,62.874094297560084
283,211384,8,s1/t3,62.874094297560084
284,211948,9,s1/t4,27.10454309434488
285,211995,18,s2/t4,27.10454309434488
286,212575,10,s1/t5,18.315781863748672
287,212608,19,s2/t5,18.315781863748672
288,213224,11,s1/t6,31.743265395041423
289,213278,20,s2/t6,31.743265395041423
290,213839,12,s1/t7,47.39233639533376
291,213925,21,s2/t7,47.39233639533376
292,214493,13,s1/t8,42.400219773399954
293,214569,22,s2/t8,42.400219773399954
294,215131,14,s1/t9,
295,215167,23,s2/t9,
296,215178,49,,
297,218074,48,,
298,218106,5,,
299,218191,4,,
300,221846,15,s2/t1,106.05954005406649
301,222084,6,s1/t1,106.05954005406649
302,222652,16,s2/t2,90.45652572581743
303,222854,7,s1/t2,90.45652572581743
304,223455,17,s2/t3,5.676823978557081
305,223465,8,s1/t3,5.676823978557081
306,224114,18,s2/t4,9.666321624719842
307,224133,9,s1/t4,9.666321624719842
308,224789,10,s1/t5,5.7839372608477495
309,224799,19,s2/t5,5.7839372608477495
310,225439,11,s1/t6,5.886603899329543
311,225449,20,s2/t6,5.886603899329543
312,226085,12,s1/t7,9.472838593240112
313,226103,21,s2/t7,9.472838593240112
314,226722,13,s1/t8,29.69745887259373
315,226775,22,s2/t8,29.69745887259373
316,227358,14,s1/t9,
317,227420,23,s2/t9,
318,227431,49,,
319,230071,48,,
320,230119,4,,
321,230187,5,,
322,233681,15,s2/t1,145.72737100243725
323,233933,6,s1/t1,145.72737100243725
324,234519,16,s2/t2,19.578584620678328
325,234555,7,s1/t2,19.578584620678328
326,235185,17,s2/t3,16.178570442814962
327,235213,8,s1/t3,16.178570442814962
328,235837,18,s2/t4,7.309714074275178
329,235850,9,s1/t4,7.309714074275178
330,236487,19,s2/t5,6.988045110261709
331,236499,10,s1/t5,6.988045110261709
332,237133,11,s1/t6,5.826928912641562
333,237143,20,s2/t6,5.826928912641562
334,237775,12,s1/t7,8.507761798777466
335,237790,21,s2/t7,8.507761798777466
336,238400,13,s1/t8,19.928698991313922
337,238435,22,s2/t8,19.928698991313922
338,239019,14,s1/t9,
339,239802,23,s2/t9,
340,239812,49,,
341,242186,48,,
342,242235,4,,
343,242372,5,,
344,246081,15,s2/t1,18.416262556833146
345,246113,6,s1/t1,18.416262556833146
346,246701,16,s2/t2,33.50008227743953
347,246760,7,s1/t2,33.50008227743953
348,247339,17,s2/t3,28.251864284223608
349,247391,8,s1/t3,28.251864284223608
350,247989,9,s1/t4,7.754936664674574
351,248003,18,s2/t4,7.754936664674574
352,248619,10,s1/t5,6.1310225703266505
353,248629,19,s2/t5,6.1310225703266505
354,249239,20,s2/t6,6.425015615831058
355,249248,11,s1/t6,6.425015615831058
356,249818,21,s2/t7,34.32342125243244
357,249878,12,s1/t7,34.32342125243244
358,250444,22,s2/t8,26.46744219099943
359,250489,13,s1/t8,26.46744219099943
360,251061,23,s2/t9,
361,251072,14,s1/t9,
362,251082,49,,
363,253978,48,,
364,254027,4,,
365,254163,5,,
366,257862,6,s1/t1,60.02505855690062
367,257977,15,s2/t1,60.02505855690062
368,258536,16,s2/t2,8.196740955614928
369,258550,7,s1/t2,8.196740955614928
370,259177,8,s1/t3,6.073198075877143
371,259187,17,s2/t3,6.073198075877143
372,259800,9,s1/t4,31.36279502807511
373,259856,18,s2/t4,31.36279502807511
374,260436,10,s1/t5,16.782097552386773
375,260465,19,s2/t5,16.782097552386773
376,261059,11,s1/t6,35.240951238399894
377,261118,20,s2/t6,35.240951238399894
378,261667,12,s1/t7,39.92673109019714
379,261735,21,s2/t7,39.92673109019714
380,262276,13,s1/t8,47.18405582090657
381,262354,22,s2/t8,47.18405582090657
382,262870,14,s1/t9,
383,262939,23,s2/t9,
384,262949,49,,
385,265326,48,,
386,265375,4,,
387,265443,5,,
388,269154,6,s1/t1,89.88974720475773
389,269288,15,s2/t1,89.88974720475773
390,269824,16,s2/t2,32.83855915679095
391,269890,7,s1/t2,32.83855915679095
392,270535,8,s1/t3,5.874327895778548
393,270545,17,s2/t3,5.874327895778548
394,271171,9,s1/t4,11.526550894441073
395,271191,18,s2/t4,11.526550894441073
396,271799,10,s1/t5,19.869233278370785
397,271835,19,s2/t5,19.869233278370785
398,272383,11,s1/t6,65.48739465813154
399,272489,20,s2/t6,65.48739465813154
400,273031,12,s1/t7,22.159804836213798
401,273070,21,s2/t7,22.159804836213798
402,273663,13,s1/t8,24.110048229901338
403,273702,22,s2/t8,24.110048229901338
404,274263,14,s1/t9,
405,274288,23,s2/t9,
406,274298,49,,
407,276930,48,,
408,276979,5,,
409,277098,4,,
410,280579,15,s2/t1,121.69202953860243
411,280787,6,s1/t1,121.69202953860243
412,281356,16,s2/t2,25.27293092397039
413,281401,7,s1/t2,25.27293092397039
414,282002,17,s2/t3,22.906954487948042
415,282042,8,s1/t3,22.906954487948042
416,282669,9,s1/t4,24.546803633558305
417,282711,18,s2/t4,24.546803633558305
418,283287,10,s1/t5,36.18656915659943
419,283349,19,s2/t5,36.18656915659943
420,283909,11,s1/t6,22.97120929479209
421,283950,20,s2/t6,22.97120929479209
422,284551,12,s1/t7,6.1764469384236245
423,284562,21,s2/t7,6.1764469384236245
424,285162,13,s1/t8,29.131149208504674
425,285211,22,s2/t8,29.131149208504674
426,285769,14,s1/t9,
427,285850,23,s2/t9,
428,285860,49,,
429,288500,48,,
430,288549,4,,
431,288634,5,,
432,292117,15,s2/t1,78.10392374178574
433,292275,6,s1/t1,78.10392374178574
434,292845,16,s2/t2,20.126759095323962
435,292883,7,s1/t2,20.126759095323962
436,293506,8,s1/t3,8.961154804962403
437,293522,17,s2/t3,8.961154804962403
438,294102,9,s1/t4,31.246114228011088
439,294157,18,s2/t4,31.246114228011088
440,294740,10,s1/t5,25.538229507193194
441,294786,19,s2/t5,25.538229507193194
442,295360,11,s1/t6,39.29751324608159
443,295423,20,s2/t6,39.29751324608159
444,295981,12,s1/t7,15.465289763918292
445,296007,21,s2/t7,15.465289763918292
446,296608,22,s2/t8,12.260108826317403
447,296629,13,s1/t8,12.260108826317403
448,297231,14,s1/t9,
449,297245,23,s2/t9,
450,297255,49,,
451,300155,48,,
452,300204,4,,
453,300289,5,,
454,303758,6,s1/t1,75.69800522401741
455,303906,15,s2/t1,75.69800522401741
456,304463,7,s1/t2,19.078626420646888
457,304496,16,s2/t2,19.078626420646888
458,305099,8,s1/t3,24.822100353646704
459,305143,17,s2/t3,24.822100353646704
460,305742,9,s1/t4,14.68646860855148
461,305768,18,s2/t4,14.68646860855148
462,306373,10,s1/t5,19.10374400823173
463,306407,19,s2/t5,19.10374400823173
464,307010,11,s1/t6,6.798624255946379
465,307021,20,s2/t6,6.798624255946379
466,307617,12,s1/t7,5.8251180642583895
467,307627,21,s2/t7,5.8251180642583895
468,308247,22,s2/t8,7.680740285491765
469,308260,13,s1/t8,7.680740285491765
470,308881,23,s2/t9,
471,308892,14,s1/t9,
472,308902,49,,
473,311794,48,,
474,311842,5,,
475,311927,4,,
476,315406,6,s1/t1,172.30807228350102
477,315682,15,s2/t1,172.30807228350102
478,316259,16,s2/t2,5.708148726719855
479,316269,7,s1/t2,5.708148726719855
480,316912,17,s2/t3,9.486788633059207
481,316929,8,s1/t3,9.486788633059207
482,317566,18,s2/t4,5.885322489776173
483,317577,9,s1/t4,5.885322489776173
484,318203,19,s2/t5,22.02430917205041
485,318241,10,s1/t5,22.02430917205041
486,318821,20,s2/t6,36.97953962604493
487,318889,11,s1/t6,36.97953962604493
488,319488,21,s2/t7,5.688736112073912
489,319499,12,s1/t7,5.688736112073912
490,320123,13,s1/t8,11.524592858801894
491,320143,22,s2/t8,11.524592858801894
492,320779,14,s1/t9,
493,320789,23,s2/t9,
494,320800,49,,
495,323688,48,,
496,323736,5,,
497,323855,4,,
498,327294,6,s1/t1,114.48242310576059
499,327584,15,s2/t1,114.48242310576059
500,328158,16,s2/t2,28.99339441840499
501,328208,7,s1/t2,28.99339441840499
502,328821,8,s1/t3,6.991616725179143
503,328833,17,s2/t3,6.991616725179143
504,329448,18,s2/t4,5.975978402943014
505,329458,9,s1/t4,5.975978402943014
506,330086,10,s1/t5,49.08542228658629
507,330177,19,s2/t5,49.08542228658629
508,330748,11,s1/t6,8.815577152739706
509,330765,20,s2/t6,8.815577152739706
510,331416,12,s1/t7,60.650488170471505
511,331543,21,s2/t7,60.650488170471505
512,332093,22,s2/t8,41.63127917394391
513,332167,13,s1/t8,41.63127917394391
514,332729,23,s2/t9,
515,332799,14,s1/t9,
516,332810,49,,
517,335444,48,,
518,335492,4,,
519,335612,5,,
520,338887,15,s2/t1,127.3272346641837
521,339174,6,s1/t1,127.3272346641837
522,339699,16,s2/t2,46.936966773272495
523,339784,7,s1/t2,46.936966773272495
524,340350,17,s2/t3,42.0255339828048
525,340431,8,s1/t3,42.0255339828048
526,341033,9,s1/t4,5.925776802821191
527,341044,18,s2/t4,5.925776802821191
528,341677,19,s2/t5,7.985461689437471
529,341691,10,s1/t5,7.985461689437471
530,342316,20,s2/t6,11.558074044650395
531,342337,11,s1/t6,11.558074044650395
532,342954,21,s2/t7,12.768543292442699
533,342978,12,s1/t7,12.768543292442699
534,343584,13,s1/t8,21.425870776023768
535,343620,22,s2/t8,21.425870776023768
536,344180,14,s1/t9,
537,344225,23,s2/t9,
538,344235,49,,
539,346878,48,,
540,346927,5,,
541,347046,4,,
542,350226,6,s1/t1,113.66131744984541
543,350525,15,s2/t1,113.66131744984541
544,351140,16,s2/t2,18.71108076681787
545,351172,7,s1/t2,18.71108076681787
546,351771,17,s2/t3,9.644295639312958
547,351787,8,s1/t3,9.644295639312958
548,352399,9,s1/t4,5.868224686693907
549,352410,18,s2/t4,5.868224686693907
550,353025,19,s2/t5,7.815084677060042
551,353039,10,s1/t5,7.815084677060042
552,353623,20,s2/t6,20.191315150488464
553,353656,11,s1/t6,20.191315150488464
554,354240,12,s1/t7,21.393667089205536
555,354276,21,s2/t7,21.393667089205536
556,354843,13,s1/t8,24.14918755769031
557,354884,22,s2/t8,24.14918755769031
558,355458,14,s1/t9,
559,355470,23,s2/t9,
560,355480,49,,
561,371706,24,,
562,371790,3,,
563,372825,48,,
564,372865,5,,
565,372985,4,,
566,376597,6,s1/t1,64.17030019701039
567,376697,15,s2/t1,64.17030019701039
568,377260,16,s2/t2,32.59922916515478
569,377318,7,s1/t2,32.59922916515478
570,377893,17,s2/t3,12.47094591575882
571,377916,8,s1/t3,12.47094591575882
572,378523,9,s1/t4,11.679066581275492
573,378543,18,s2/t4,11.679066581275492
574,379126,10,s1/t5,30.13051547113676
575,379178,19,s2/t5,30.13051547113676
576,379691,11,s1/t6,73.54053736640826
577,379806,20,s2/t6,73.54053736640826
578,380305,12,s1/t7,35.22894107957194
579,380367,21,s2/t7,35.22894107957194
580,380924,13,s1/t8,50.232797934728644
581,381005,22,s2/t8,50.232797934728644
582,381499,14,s1/t9,
583,381584,23,s2/t9,
584,381595,49,,
585,384489,48,,
586,384537,4,,
587,384623,5,,
588,387770,15,s2/t1,118.88517548261305
589,387953,6,s1/t1,118.88517548261305
590,388509,7,s1/t2,38.08874098468175
591,388576,16,s2/t2,38.08874098468175
592,389143,8,s1/t3,42.87725779490981
593,389216,17,s2/t3,42.87725779490981
594,389753,9,s1/t4,57.16501468323214
595,389854,18,s2/t4,57.16501468323214
596,390390,10,s1/t5,39.394675160766866
597,390457,19,s2/t5,39.394675160766866
598,390999,11,s1/t6,58.09712882778932
599,391100,20,s2/t6,58.09712882778932
600,391627,12,s1/t7,52.739834982725974
601,391717,21,s2/t7,52.739834982725974
602,392242,13,s1/t8,67.7973865413553
603,392354,22,s2/t8,67.7973865413553
604,392834,14,s1/t9,
605,392931,23,s2/t9,
606,392942,49,,
607,395325,48,,
608,395373,4,,
609,395510,5,,
610,398686,6,s1/t1,123.36441487448126
611,398868,15,s2/t1,123.36441487448126
612,399399,16,s2/t2,13.529942059182872
613,399424,7,s1/t2,13.529942059182872
614,399966,8,s1/t3,50.90483885593275
615,400053,17,s2/t3,50.90483885593275
616,400580,9,s1/t4,56.02998943393175
617,400670,18,s2/t4,56.02998943393175
618,401204,10,s1/t5,25.471900233060808
619,401249,19,s2/t5,25.471900233060808
620,401817,11,s1/t6,38.491931626223305
621,401885,20,s2/t6,38.491931626223305
622,402405,12,s1/t7,66.99176784558003
623,402518,21,s2/t7,66.99176784558003
624,403054,13,s1/t8,41.446738219718156
625,403124,22,s2/t8,41.446738219718156
626,403691,14,s1/t9,
627,403737,23,s2/t9,
628,403748,49,,
629,406639,48,,
630,406687,4,,
631,406807,5,,
632,410312,15,s2/t1,39.160087813418045
633,410378,6,s1/t1,39.160087813418045
634,410943,16,s2/t2,23.73526187420856
635,410981,7,s1/t2,23.73526187420856
636,411543,17,s2/t3,7.416926704070505
637,411555,8,s1/t3,7.416926704070505
638,412136,18,s2/t4,12.23868433239619
639,412157,9,s1/t4,12.23868433239619
640,412760,19,s2/t5,17.952608637592423
641,412790,10,s1/t5,17.952608637592423
642,413375,20,s2/t6,16.80170978191967
643,413403,11,s1/t6,16.80170978191967
644,413971,21,s2/t7,15.3490998699437
645,413997,12,s1/t7,15.3490998699437
646,414572,22,s2/t8,36.50967333141651
647,414625,13,s1/t8,36.50967333141651
648,415150,14,s1/t9,
649,415160,23,s2/t9,
650,415171,49,,
651,418072,48,,
652,418121,5,,
653,418257,4,,
654,421435,6,s1/t1,83.18875801285671
655,421573,15,s2/t1,83.18875801285671
656,422128,7,s1/t2,26.15272701994061
657,422171,16,s2/t2,26.15272701994061
658,422724,8,s1/t3,21.50228978653629
659,422761,17,s2/t3,21.50228978653629
660,423322,9,s1/t4,39.017528450710024
661,423383,18,s2/t4,39.017528450710024
662,423937,10,s1/t5,9.231857837168832
663,423953,19,s2/t5,9.231857837168832
664,424538,11,s1/t6,12.80379873821255
665,424559,20,s2/t6,12.80379873821255
666,425150,21,s2/t7,6.648259853231224
667,425161,12,s1/t7,6.648259853231224
668,425720,22,s2/t8,21.428646772871357
669,425754,13,s1/t8,21.428646772871357
670,426289,23,s2/t9,
671,426326,14,s1/t9,
672,426336,49,,
673,429233,48,,
674,429281,4,,
675,429400,5,,
676,432834,6,s1/t1,105.51172006701904
677,433084,15,s2/t1,105.51172006701904
678,433628,16,s2/t2,33.53133134680306
679,433687,7,s1/t2,33.53133134680306
680,434236,17,s2/t3,50.80490463121132
681,434316,8,s1/t3,50.80490463121132
682,434861,18,s2/t4,11.94408387750144
683,434881,9,s1/t4,11.94408387750144
684,435451,19,s2/t5,11.425124635913932
685,435469,10,s1/t5,11.425124635913932
686,436051,11,s1/t6,6.670624060067839
687,436062,20,s2/t6,6.670624060067839
688,436636,21,s2/t7,14.52674761776882
689,436659,12,s1/t7,14.52674761776882
690,437223,13,s1/t8,43.85054676864442
691,437296,22,s2/t8,43.85054676864442
692,437820,14,s1/t9,
693,437831,23,s2/t9,
694,437841,49,,
695,440477,48,,
696,440526,5,,
697,440662,4,,
698,443768,15,s2/t1,138.67779684905696
699,444070,6,s1/t1,138.67779684905696
700,444552,16,s2/t2,63.88402419362919
701,444670,7,s1/t2,63.88402419362919
702,445216,17,s2/t3,34.77466067260315
703,445282,8,s1/t3,34.77466067260315
704,445835,9,s1/t4,33.779097439236835
705,445894,18,s2/t4,33.779097439236835
706,446486,10,s1/t5,19.18899945911491
707,446518,19,s2/t5,19.18899945911491
708,447111,20,s2/t6,13.982635906033153
709,447136,11,s1/t6,13.982635906033153
710,447744,21,s2/t7,16.626228659994357
711,447769,12,s1/t7,16.626228659994357
712,448276,22,s2/t8,61.148364572678496
713,448391,13,s1/t8,61.148364572678496
714,448914,14,s1/t9,
715,448957,23,s2/t9,
716,448967,49,,
717,451348,48,,
718,451397,5,,
719,451465,4,,
720,454633,6,s1/t1,79.20509330437727
721,454812,15,s2/t1,79.20509330437727
722,455447,7,s1/t2,7.204808791975238
723,455460,16,s2/t2,7.204808791975238
724,456055,17,s2/t3,6.585084670498105
725,456066,8,s1/t3,6.585084670498105
726,456638,9,s1/t4,20.603470091806003
727,456672,18,s2/t4,20.603470091806003
728,457236,10,s1/t5,6.086610963609388
729,457246,19,s2/t5,6.086610963609388
730,457856,11,s1/t6,10.16817923993196
731,457874,20,s2/t6,10.16817923993196
732,458463,21,s2/t7,7.909316033857522
733,458476,12,s1/t7,7.909316033857522
734,459055,13,s1/t8,6.152248150942483
735,459065,22,s2/t8,6.152248150942483
736,459651,23,s2/t9,
737,459662,14,s1/t9,
738,459672,49,,
739,462048,48,,
740,462096,4,,
741,462233,5,,
742,465592,6,s1/t1,161.30896186966254
743,465902,15,s2/t1,161.30896186966254
744,466464,16,s2/t2,5.906278976430856
745,466474,7,s1/t2,5.906278976430856
746,467082,8,s1/t3,9.485460910152199
747,467099,17,s2/t3,9.485460910152199
748,467691,9,s1/t4,22.143110381995516
749,467727,18,s2/t4,22.143110381995516
750,468281,10,s1/t5,15.413290169748704
751,468309,19,s2/t5,15.413290169748704
752,468866,11,s1/t6,48.45355003437174
753,468941,20,s2/t6,48.45355003437174
754,469497,21,s2/t7,17.296287472252033
755,469525,12,s1/t7,17.296287472252033
756,470079,22,s2/t8,11.463874710309739
757,470097,13,s1/t8,11.463874710309739
758,470656,23,s2/t9,
759,470673,14,s1/t9,
760,470684,49,,
761,473588,48,,
762,473632,5,,
763,473751,4,,
764,477117,15,s2/t1,45.67483798026418
765,477194,6,s1/t1,45.67483798026418
766,477721,16,s2/t2,49.63849300275752
767,477801,7,s1/t2,49.63849300275752
768,478339,17,s2/t3,26.025502267428607
769,478379,8,s1/t3,26.025502267428607
770,478922,18,s2/t4,13.232826794172494
771,478945,9,s1/t4,13.232826794172494
772,479526,19,s2/t5,20.21034065632594
773,479559,10,s1/t5,20.21034065632594
