,0,1,2
166,851756,14,
167,851766,49,
168,854653,48,
169,854701,5,
170,854786,4,
171,857886,15,130.21199247682668
172,858138,6,130.21199247682668
173,858583,16,46.93839907516062
174,858672,7,46.93839907516062
175,859266,17,15.394205273995112
176,859294,8,15.394205273995112
177,859909,18,17.22351494028962
178,859940,9,17.22351494028962
179,860552,19,37.33875815092222
180,860618,10,37.33875815092222
181,861185,20,39.54836753066232
182,861258,11,39.54836753066232
183,861847,21,16.512700099406487
184,861876,12,16.512700099406487
185,862464,13,5.825753265130345
186,862474,22,5.825753265130345
187,863118,23,
188,863150,14,
189,863160,49,
190,865538,48,
191,865571,5,
192,865656,4,
193,869033,6,128.46712772126844
194,869295,15,128.46712772126844
195,869767,7,32.06195802198275
196,869879,16,32.06195802198275
197,871033,8,84.34903269620708
198,871210,17,84.34903269620708
199,871790,9,58.95650639315262
200,871894,18,58.95650639315262
201,872429,10,60.326579778554446
202,872546,19,60.326579778554446
203,873126,11,37.63599186019309
204,873199,20,37.63599186019309
205,873822,12,31.794647807561233
206,873886,21,31.794647807561233
207,874542,13,7.277550373118856
208,874555,22,7.277550373118856
209,875177,23,
210,875203,14,
211,875213,49,
212,877843,48,
213,877892,4,
214,878028,5,
215,881217,15,118.1850922493581
216,881520,6,118.1850922493581
217,882138,16,84.65997467249521
218,882291,7,84.65997467249521
219,882787,17,53.55829979718999
220,882886,8,53.55829979718999
221,883453,18,15.663808565806931
222,883481,9,15.663808565806931
223,884086,19,38.18588784997036
224,884159,10,38.18588784997036
225,884774,20,5.816201665616916
226,884784,11,5.816201665616916
227,885415,21,14.620272834876829
228,885442,12,14.620272834876829
229,886079,22,25.234520953461328
230,886127,13,25.234520953461328
231,886756,23,
232,886765,14,
233,886776,49,
234,889157,48,
235,889206,5,
236,889291,4,
237,892549,6,134.7662342745338
238,892822,15,134.7662342745338
239,893278,7,96.52827019936832
240,893484,16,96.52827019936832
241,894047,8,23.649479060047952
242,894089,17,23.649479060047952
243,894688,9,30.66655766396002
244,894745,18,30.66655766396002
245,895354,10,29.51342275936034
246,895410,19,29.51342275936034
247,896043,11,27.095134962034905
248,896096,20,27.095134962034905
249,896737,12,5.3579694410796606
250,896748,21,5.3579694410796606
251,897426,22,6.994507339256273
252,897438,13,6.994507339256273
253,898064,14,
254,898119,23,
255,898129,49,
256,901017,48,
257,901066,5,
258,901202,4,
259,904486,6,145.61646666136838
260,904772,15,145.61646666136838
261,905387,7,46.613729971564965
262,905478,16,46.613729971564965
263,906081,8,52.1101618620381
264,906182,17,52.1101618620381
265,906883,18,6.776491592651979
266,906896,9,6.776491592651979
267,907573,10,9.2932041943493
268,907592,19,9.2932041943493
269,908264,11,24.375250129988302
270,908312,20,24.375250129988302
271,908967,12,22.758211644360955
272,909009,21,22.758211644360955
273,909623,13,25.737588181506055
274,909674,22,25.737588181506055
275,910320,14,
276,910391,23,
277,910401,49,
278,913047,48,
279,913096,5,
280,913215,4,
281,916394,15,11.246617631743135
282,916414,6,11.246617631743135
283,917035,7,13.991748770303928
284,917060,16,13.991748770303928
285,917675,8,22.060401152938397
286,917715,17,22.060401152938397
287,918318,18,5.703966098911707
288,918329,9,5.703966098911707
289,918989,10,11.065011716483212
290,919010,19,11.065011716483212
291,919667,11,35.16941792156885
292,919736,20,35.16941792156885
293,920361,21,5.560409744490073
294,920371,12,5.560409744490073
295,921044,13,5.660932350872002
296,921054,22,5.660932350872002
297,921703,14,
298,921731,23,
299,921741,49,
300,924122,48,
301,924171,5,
302,924239,4,
303,927555,6,151.80764940050162
304,927842,15,151.80764940050162
