,index,sample,eventcode,eventname
5380,6621,4517816,13,s1/t8
5381,6622,4517849,22,s2/t8
5382,6623,4518306,14,s1/t9
5383,6624,4518345,23,s2/t9
5384,6629,4524668,15,s2/t1
5385,6630,4524703,6,s1/t1
5386,6631,4525159,7,s1/t2
5387,6632,4525198,16,s2/t2
5388,6633,4525624,8,s1/t3
5389,6634,4525662,17,s2/t3
5390,6635,4526123,9,s1/t4
5391,6636,4526135,18,s2/t4
5392,6637,4526591,19,s2/t5
5393,6638,4526630,10,s1/t5
5394,6639,4527061,20,s2/t6
5395,6640,4527114,11,s1/t6
5396,6641,4527537,21,s2/t7
5397,6642,4527577,12,s1/t7
5398,6643,4528034,13,s1/t8
5399,6644,4528050,22,s2/t8
5400,6645,4528528,23,s2/t9
5401,6646,4529000,14,s1/t9
