,index,pair,block,trial,tapnr,Delta,ITI_sub1,ITI_sub2,alpha,alpha_lin,subject,ttap,jitter,ttap3
4621,47821,203,11,257,7,0.04015707969665527,0.46472883224487394,0.47477006912231356,31.107492558538922,31.107492558538922,2,6.420165061950684,0.075,3.4201650619506836
4622,47822,203,11,257,8,0.030115842819215644,0.42214012145996005,0.4705679416656494,25.682712596523398,25.6827125965234,1,6.925050973892213,0.075,3.925050973892213
4623,47823,203,11,257,8,0.030115842819215644,0.42214012145996005,0.4705679416656494,25.682712596523398,25.6827125965234,2,6.894935131072997,0.075,3.894935131072997
4624,47824,203,11,257,9,0.01831197738647372,,,,,1,7.347191095352173,0.075,4.347191095352173
4625,47825,203,11,257,9,0.01831197738647372,,,,,2,7.365503072738647,0.075,4.365503072738647
4626,47826,203,11,258,1,0.24131202697753906,0.41541290283203125,0.48334693908691406,179.73079518414605,179.73079518414605,1,3.598618984222412,0.025,0.5986189842224121
4627,47827,203,11,258,1,0.24131202697753906,0.41541290283203125,0.48334693908691406,179.73079518414605,179.73079518414605,2,3.357306957244873,0.025,0.35730695724487305
4628,47828,203,11,258,2,0.17337799072265625,0.4102749824523926,0.467440128326416,133.52742496376084,133.52742496376084,1,4.014031887054443,0.025,1.0140318870544434
4629,47829,203,11,258,2,0.17337799072265625,0.4102749824523926,0.467440128326416,133.52742496376084,133.52742496376084,2,3.840653896331787,0.025,0.8406538963317871
4630,47830,203,11,258,3,0.11621284484863281,0.8390340805053711,0.9981060028076172,41.91601295636305,41.91601295636303,1,4.424306869506836,0.025,1.424306869506836
4631,47831,203,11,258,3,0.11621284484863281,0.8390340805053711,0.9981060028076172,41.91601295636305,41.91601295636303,2,4.308094024658203,0.025,1.3080940246582031
4632,47832,203,11,258,4,0.04285907745361328,0.5057930946350107,0.44382786750793457,34.76408088102972,34.76408088102971,1,5.263340950012207,0.025,2.263340950012207
4633,47833,203,11,258,4,0.04285907745361328,0.5057930946350107,0.44382786750793457,34.76408088102972,34.76408088102971,2,5.30620002746582,0.025,2.3062000274658203
4634,47834,203,11,258,5,0.019106149673462802,0.4716329574584952,0.5022511482238778,13.694769851239151,13.694769851239158,1,5.769134044647218,0.025,2.7691340446472177
4635,47835,203,11,258,5,0.019106149673462802,0.4716329574584952,0.5022511482238778,13.694769851239151,13.694769851239158,2,5.750027894973755,0.025,2.750027894973755
4636,47836,203,11,258,6,0.011512041091919833,0.4464139938354492,0.45876002311706454,9.033774924267115,9.033774924267107,1,6.240767002105713,0.025,3.240767002105713
