,pair,trial,alpha_lin
162,208,97,61.00206819554468
163,208,97,66.44994616908903
164,208,98,60.20895136021733
165,208,98,56.584769862216234
166,208,99,41.59236758420721
167,208,99,60.85990000431973
168,208,100,99.4333119686544
169,208,100,131.81815786460575
170,208,101,42.367101829271746
171,208,101,49.32007494959805
172,208,102,66.28976257675905
173,208,102,41.622795188899744
174,208,103,32.69693453308429
175,208,103,22.458587588296666
176,208,104,7.291922133660336
177,208,104,11.000764861653039
178,208,105,34.81886778506558
179,208,105,7.507579814313402
180,208,106,20.470205217390685
181,208,106,59.84402502687939
182,208,106,22.791642737499103
183,208,107,17.466932462096594
184,208,107,8.377009309301599
185,208,108,18.103854747455642
186,208,108,23.166372592229465
187,208,109,88.62086703561634
188,208,109,63.20251014111017
189,208,109,35.64942187418441
190,208,110,51.74018739116366
191,208,110,46.675370225484585
192,208,111,69.28686487303871
193,208,111,63.33773069839735
194,208,112,50.718608882727324
195,208,112,100.14959942014062
196,208,113,77.58799304788633
197,208,113,14.8754369195957
198,208,115,42.21768592954302
199,208,115,59.746722846238114
200,208,116,75.10879366227942
201,208,116,68.77661893508562
202,208,116,23.517570465390378
203,208,117,49.54304851346893
204,208,117,73.0140098954087
205,208,118,98.88834938148366
206,208,118,56.25563494577827
207,208,119,47.664501521368834
208,208,119,66.08039371755267
209,208,120,62.76214981057177
210,208,120,54.61234057168586
211,208,120,65.12861600998718
212,208,121,40.5217004205401
213,208,121,17.61646746814432
214,208,122,63.967158906406496
215,208,122,33.122526808866525
216,208,124,49.52401956758922
217,208,124,33.8450987978116
218,208,125,177.4528195970318
219,208,125,157.37157893853544
220,208,126,108.491514404214
221,208,126,107.03175619559636
222,208,127,145.714451035399
223,208,127,99.14328051563166
224,208,128,77.16949953773221
225,208,128,72.34410921788246
226,208,129,66.95462883319193
227,208,129,22.80985710239284
228,208,130,45.381861418686526
229,208,130,13.40148699769557
230,208,131,42.92012931605635
231,208,131,38.9148996749029
232,208,132,21.65675250321783
233,208,132,28.758886105026903
234,208,132,45.430689159743906
235,208,134,109.76746733498871
236,208,134,111.39840326983914
237,208,136,50.24692030004928
238,208,136,74.80605776027568
239,208,136,59.108422162419316
240,208,137,51.716457465820014
241,208,137,38.291357671540766
242,208,138,160.56512983649165
243,208,138,125.5859109136783
244,208,139,71.34759022277238
245,208,139,82.35471844720828
246,208,140,109.54501110413386
247,208,140,93.35594058046469
248,208,142,7.418351926274454
249,208,142,7.144776388514202
250,208,144,62.36822047963503
251,208,144,46.0865230792638
252,208,145,30.635247549619436
253,208,145,31.23733163052617
254,208,146,38.334657132660595
255,208,146,17.383428764436673
256,208,147,42.72729994038551
257,208,147,92.57863369472955
258,208,148,49.12856972106337
259,208,148,21.582569904218246
260,208,148,16.878458189077833
261,208,149,59.59858710468313
262,208,149,34.046527239028336
263,208,150,44.34587343007556
264,208,150,62.4522073118267
265,208,151,11.3341367560204
266,208,151,23.90449049124632
267,208,152,8.083594646502405
268,208,152,8.252264652730446
269,208,152,43.94627020999815
270,208,153,17.454336568792655
271,208,153,40.63636387127673
272,208,154,64.55681146953913
273,208,154,35.988615656036984
274,208,155,87.49957386010404
275,208,155,76.63213492130332
276,208,156,32.472969605149956
277,208,156,58.68486302779404
278,208,156,33.118232767890646
279,208,157,18.17529637534301
280,208,157,45.875252324082
281,208,158,118.04222930984383
282,208,158,87.62446397411009
283,208,158,93.77177643008233
284,208,159,24.141338960968937
285,208,159,53.26077084512178
286,208,160,34.118431104826584
287,208,160,48.97127018891848
288,208,161,48.10819024464308
289,208,161,53.51285804400939
290,208,162,88.09541256585528
291,208,162,119.63448959019698
292,208,163,100.95665869916303
293,208,163,78.56154854827884
294,208,164,49.97769719389618
295,208,164,55.64432839945658
296,208,164,9.845191430948347
297,208,165,135.17728794635732
298,208,166,59.09619755134152
299,208,166,109.60335425384503
300,208,167,120.38443556972528
301,208,167,113.21887637636067
302,208,168,68.94833858018711
303,208,168,70.05096567964625
304,208,169,32.29740815746871
305,208,170,69.49342375522845
306,208,170,70.17661679109055
307,208,171,70.65164097020433
308,208,171,98.38429512264646
309,208,172,72.44963299470307
310,208,172,100.11986107276223
311,208,173,113.37462448259882
312,208,173,147.1285173726182
313,208,175,22.632191420801234
314,208,175,37.29446472518174
315,208,176,10.500245147592125
316,208,176,1.294466608196899
317,208,177,49.719220688375884
318,208,177,29.858285521211684
319,208,178,48.435079856150736
320,208,178,48.65504553296927
321,208,179,8.19421524530037
322,208,179,7.536525778516307
